"nr_indeksu";"nazwisko_imie";"Algebra2";"Analiza2";"Topologia";"Programowanie2";"Humanistyczny"
212362;"Zolowicz Tyler";"nzal.";"3.5";"4.5";"5.0";"4.0"
212359;"Ortiz Alexandra";"3.5";"3.5";"3.5";"4.5";"3.0"
212344;"Northup Sean";"3.5";"4.0";"5.0";"5.0";"3.5"
212361;"Ryszkowski Mackenzie";"4.0";"4.5";"5.0";"3.5";"3.0"
212355;"Wright Lauren";"4.5";"3.0";"4.0";"3.5";"4.0"
212356;"Miller Randi";"4.5";"4.5";"4.5";"4.0";"3.5"
212353;"Harper Gregory";"3.5";"3.0";"4.0";"3.0";"3.0"
212343;"Zimmerman Haley";"3.0";"3.0";"5.0";"4.0";"3.5"
212337;"Galloway Katherine";"4.5";"4.5";"4.0";"4.0";"3.0"
212341;"Soroka Jacob";"4.5";"4.0";"3.0";"5.0";"3.5"
212347;"Hutfles Sarah";"3.5";"4.5";"3.0";"4.0";"3.5"
212360;"Hensley Zachary";"5.0";"nzal.";"nzal.";"3.5";"4.5"
212357;"Collier Olivia";"3.0";"3.0";"3.0";"3.5";"4.5"
212339;"Weaver Sadie";"4.5";"4.5";"3.0";"3.0";"3.5"
212349;"Hunter Molly";"3.0";"4.0";"4.5";"3.0";"4.5"
212358;"Oliger Ransom";"5.0";"3.0";"4.0";"nzal.";"4.0"
212336;"Swedell Victoria";"4.0";"3.0";"5.0";"4.5";"4.5"
212354;"Heuston Toni";"4.5";"4.5";"4.5";"4.0";"4.0"
212350;"Platek Misty";"4.0";"4.0";"5.0";"3.0";"3.0"
212346;"Brunk Joan";"5.0";"4.5";"nzal.";"nzal.";"nzal."
212352;"Maldonado Christopher";"4.5";"3.0";"4.0";"5.0";"3.5"
212335;"Bozeman Marissa";"4.0";"4.5";"5.0";"3.0";"3.0"
212334;"Granlund Wyatt";"3.0";"4.0";"4.5";"4.5";"4.5"
212340;"Byrne Brianna";"5.0";"5.0";"3.5";"3.0";"4.5"
212338;"Brenner Kaleb-Michael";"3.0";"4.0";"3.0";"3.5";"3.0"
212348;"Hughes Mackenzie";"3.5";"4.0";"4.5";"4.5";"3.0"
212342;"Thomas Alyssa";"5.0";"4.0";"5.0";"4.5";"4.0"
212333;"Schnake Taylor";"3.0";"nzal.";"3.5";"4.5";"4.0"
